Year First Released,Title,Year Recorded,Album,Author(s),Lead vocal(s)
1975,'39,1975,A Night at the Opera,May,May
1982,Action This Day,1981–82,Hot Space,Taylor,Taylor & Mercury
1977,"All Dead, All Dead",1977,News of the World,May,May & Mercury
1991,All God's People,1989–90,Innuendo,Queen/Mike Moran (Mercury/Moran),Mercury
1980,Another One Bites the Dust,1980,The Game,Deacon,Mercury
1980,Arboria (Planet of the Tree Men),1980,Flash Gordon,Deacon,Instrumental
1982,Back Chat,1981–82,Hot Space,Deacon,Mercury
1980,Battle Theme,1980,Flash Gordon,May,Instrumental
1978,Bicycle Race,1978,Jazz,Mercury,Mercury
1991,Bijou,1989–90,Innuendo,Queen (May/Mercury),Mercury
1985,One Vision,1985,"B-Side to ""One Vision""",Queen,"Mercury, with May & Taylor"
1982,Body Language,1981–82,Hot Space,Mercury,Mercury
1975,Bohemian Rhapsody,1975,A Night at the Opera,Mercury,Mercury
1989,Breakthru,1988–89,The Miracle,Queen (Taylor/Mercury),Mercury
1974,Brighton Rock,1974,Sheer Heart Attack,May,Mercury and May (lead vocal on one line)
1974,Bring Back That Leroy Brown,1974,Sheer Heart Attack,Mercury,Mercury
1982,Calling All Girls,1981–82,Hot Space,Taylor,Mercury
1989,Chinese Torture,1988–89,The Miracle (CD Version),Queen (May),Instrumental
1980,Coming Soon,1979,The Game,Taylor,Taylor & Mercury
1982,Cool Cat,1981–82,Hot Space,Deacon/Mercury,Mercury
1980,Crash Dive On Mingo City,1980,Flash Gordon,May,Instrumental
1979,Crazy Little Thing Called Love,1979,The Game,Mercury,Mercury
1982,Dancer,1981–82,Hot Space,May,Mercury
1978,Dead On Time,1978,Jazz,May,Mercury
1974,Dear Friends,1974,Sheer Heart Attack,May,Mercury
1975,Death on Two Legs (Dedicated to...),1975,A Night at the Opera,Mercury,Mercury
1991,Delilah,1989–90,Innuendo,Queen (Mercury),Mercury
1973,Doing All Right,1972,Queen,"May, Tim Staffell",Mercury
1986,Don't Lose Your Head,1985–86,A Kind of Magic,Taylor,Taylor & Mercury
1978,Don't Stop Me Now,1978,Jazz,Mercury,Mercury
1991,Don't Try So Hard,1989–90,Innuendo,Queen (Mercury/Deacon),Mercury
1980,Don't Try Suicide,1980,The Game,Mercury,Mercury
1980,Dragon Attack,1980,The Game,May,Mercury
1978,Dreamer's Ball,1978,Jazz,May,Mercury
1976,Drowse,1976,A Day at the Races,Taylor,Taylor
1980,Escape from the Swamp,1980,Flash Gordon,Taylor,Instrumental
1980,Execution of Flash,1980,Flash Gordon,Deacon,Instrumental
1974,The Fairy Feller's Master-Stroke,1973,Queen II,Mercury,Mercury
1978,Fat Bottomed Girls,1978,Jazz,May,Mercury & May
1974,Father to Son,1973,Queen II,May,Mercury
2011,"Feelings, Feelings",1977,News of the World (2011 Bonus EP),May,Mercury
1977,Fight from the Inside,1977,News of the World,Taylor,Taylor
1980,Flash's Theme,1980,Flash Gordon,May,May & Mercury
1980,Flash to the Rescue,1980,Flash Gordon,May,"Instrumental (chorus from May, Mercury, Taylor)"
1980,Flash's Theme Reprise (Victory Celebrations),1980,Flash Gordon,May,"Mercury, May, Taylor"
1974,Flick of the Wrist,1974,Sheer Heart Attack,Mercury,Mercury
1980,Football Fight,1980,Flash Gordon,Mercury,Instrumental
1986,Friends Will Be Friends,1985–86,A Kind of Magic,Mercury/Deacon,Mercury
1978,Fun It,1978,Jazz,Taylor,Taylor & Mercury
1974,Funny How Love Is,1973,Queen II,Mercury,Mercury
1977,"Get Down, Make Love",1977,News of the World,Mercury,Mercury
1986,Gimme the Prize (Kurgan's Theme),1985–86,A Kind of Magic,May,Mercury
1975,God Save the Queen,1974,A Night at the Opera,"Traditional, Arr. May",Instrumental
1975,Good Company,1975,A Night at the Opera,May,May
1976,Good Old-Fashioned Lover Boy,1976,A Day at the Races,Mercury,Mercury & Mike Stone
1973,Great King Rat,1972,Queen,Mercury,Mercury
1984,Hammer to Fall,1983–84,The Works,May,Mercury (verses) and May (chorus)
1989,Hang On in There,1988–89,The Miracle (CD Version),Queen,Mercury
1991,Headlong,1989–90,Innuendo,Queen (May),Mercury
1995,Heaven for Everyone,1987–95,Made in Heaven,Taylor,Mercury
1980,The Hero,1980,Flash Gordon,May,"Mercury, May & Taylor"
1989,Hijack My Heart,1988–89,"B-Side to ""I Want It All""",Queen (Taylor),Taylor
1991,The Hitman,1989–90,Innuendo,Queen (Mercury/May),Mercury
1980,A Human Body,1980,"B-Side to ""Play The Game""",Taylor,Taylor
1991,I Can't Live With You,1989–90,Innuendo,Queen (May),Mercury
1984,I Go Crazy,1983–84,"B-Side to ""Radio Ga Ga""",May,Mercury & May (bridge)
1989,I Want It All,1988–89,The Miracle,Queen (May),May & Mercury
1984,I Want to Break Free,1983–84,The Works,Deacon,Mercury
1995,I Was Born To Love You,1984–95,Made in Heaven,Mercury,Mercury
1978,If You Can't Beat Them,1978,Jazz,Deacon,Mercury
1991,I'm Going Slightly Mad,1989–90,Innuendo,Queen (Mercury),Mercury
1975,I'm in Love with My Car,1975,A Night at the Opera,Taylor,Taylor
1992,Impromptu,1986,Live at Wembley '86,Queen,Instrumental
1978,In Only Seven Days,1978,Jazz,Deacon,Mercury
1980,In the Death Cell (Love Theme Reprise),1980,Flash Gordon,Taylor,Instrumental
1974,In the Lap of the Gods,1974,Sheer Heart Attack,Mercury,"Mercury (lyrics), Taylor (screaming)"
1974,In the Lap of the Gods... Revisited,1974,Sheer Heart Attack,Mercury,Mercury
1980,In the Space Capsule (The Love Theme),1980,Flash Gordon,Taylor,Instrumental
1991,Innuendo,1989–90,Innuendo,Queen (Mercury/Taylor),Mercury
1989,The Invisible Man,1988–89,The Miracle,Queen (Taylor),Taylor & Mercury
1984,Is This the World We Created...?,1983–84,The Works,Mercury/May,Mercury
1995,It's a Beautiful Day,1980–95,Made in Heaven,Queen (Mercury),Mercury
1995,It's a Beautiful Day (Reprise),1980–95,Made in Heaven,Queen (Mercury),Mercury
1984,It's a Hard Life,1983–84,The Works,Mercury,Mercury
1977,It's Late,1977,News of the World,May,Mercury
1978,Jealousy,1978,Jazz,Mercury,Mercury
1973,Jesus,1972,Queen,Mercury,Mercury
1984,Keep Passing the Open Windows,1983–84,The Works,Mercury,Mercury
1973,Keep Yourself Alive,1972,Queen,May,"Mercury, May (one line), Taylor (one line)"
1989,Khashoggi's Ship,1988–89,The Miracle,Queen (Mercury),Mercury
1974,Killer Queen,1974,Sheer Heart Attack,Mercury,Mercury
1986,A Kind of Magic,1985–86,A Kind of Magic,Taylor,Mercury
1980,The Kiss (Aura Resurrects Flash),1980,Flash Gordon,Mercury,Instrumental
1982,Las Palabras de Amor (The Words of Love),1981–82,Hot Space,May,Mercury
1975,Lazing on a Sunday Afternoon,1975,A Night at the Opera,Mercury,Mercury
1978,Leaving Home Ain't Easy,1978,Jazz,May,May
1978,Let Me Entertain You,1978,Jazz,Mercury,Mercury
2014,Let Me In Your Heart Again,1983–2014,Queen Forever,May,Mercury
1995,Let Me Live,1983–95,Made in Heaven,Queen,"May, Mercury, Taylor"
1973,Liar,1972,Queen,Mercury,Mercury
1982,Life Is Real (Song For Lennon),1981–82,Hot Space,Mercury,Mercury
1974,Lily of the Valley,1974,Sheer Heart Attack,Mercury,Mercury
1976,Long Away,1976,A Day at the Races,May,May
1974,The Loser in the End,1973,Queen II,Taylor,Taylor
1991,Lost Opportunity,1991,B-Side To I'm Going Slightly Mad,May,May
2014,Love Kills,1984–2014,Queen Forever,"Mercury, Giorgio Moroder",Mercury
1975,Love of My Life,1975,A Night at the Opera,Mercury,Mercury
1984,Machines (or 'Back to Humans'),1983–84,The Works,May/Taylor,Mercury
1991,Mad the Swine,1972,B-Side To Headlong,Mercury,Mercury
1995,Made In Heaven,1984–95,Made in Heaven,Mercury,Mercury
1984,Man on the Prowl,1983–84,The Works,Mercury,Mercury
1974,The March of the Black Queen,1973,Queen II,Mercury,Mercury & Taylor (two lines)
1980,Marriage of Dale & Ming (And Flash Approaching),1980,Flash Gordon,May/Taylor,Instrumental
1976,The Millionaire Waltz,1976,A Day at the Races,Mercury,Mercury
1980,Ming's Theme (In the Court of Ming the Merciless),1980,Flash Gordon,Mercury,Instrumental
1989,The Miracle,1988–89,The Miracle,Queen (Mercury/Deacon),Mercury
1974,Misfire,1974,Sheer Heart Attack,Deacon,Mercury
1973,Modern Times Rock 'n' Roll,1972,Queen,Taylor,Taylor
1978,More of That Jazz,1978,Jazz,Taylor,Taylor
1995,Mother Love,1991–95,Made in Heaven,May/Mercury,Mercury & May
1978,Mustapha,1978,Jazz,Mercury,Mercury
1989,My Baby Does Me,1988–89,The Miracle,Queen (Deacon/Mercury),Mercury
1973,My Fairy King,1972,Queen,Mercury,Mercury
1995,My Life Has Been Saved,1988–95,Made in Heaven,Deacon,Mercury
1977,My Melancholy Blues,1977,News of the World,Mercury,Mercury
1980,Need Your Loving Tonight,1980,The Game,Deacon,Mercury
1974,Nevermore,1973,Queen II,Mercury,Mercury
1973,The Night Comes Down,1971,Queen,May,Mercury
1997,No-One But You (Only the Good Die Young),1997,Queen Rocks,May,May & Taylor
1974,Now I'm Here,1974,Sheer Heart Attack,May,Mercury
1974,Ogre Battle,1973,Queen II,Mercury,Mercury
1985,One Vision,1985,A Kind of Magic,Queen (Taylor),Mercury
1986,One Year of Love,1985–86,A Kind of Magic,Deacon,Mercury
1986,Pain Is So Close to Pleasure,1985–86,A Kind of Magic,Mercury/Deacon,Mercury
1989,Party,1988–89,The Miracle,Queen (Mercury/Deacon/May),Mercury
1980,Play the Game,1980,The Game,Mercury,Mercury
1986,Princes of the Universe,1985–86,A Kind of Magic,Mercury,Mercury
1974,Procession,1973,Queen II,May,Instrumental
1975,The Prophet's Song,1975,A Night at the Opera,May,Mercury
1982,Put Out the Fire,1981–82,Hot Space,May,Mercury and May
1984,Radio Ga Ga,1983–84,The Works,Taylor,Mercury & Taylor
1989,Rain Must Fall,1988–89,The Miracle,Queen (Deacon/Mercury),Mercury
1991,Ride the Wild Wind,1989–90,Innuendo,Queen (Taylor),Mercury
1980,The Ring (Hypnotic Seduction of Dale),1980,Flash Gordon,Mercury,Instrumental
1980,Rock It (Prime Jive),1980,The Game,Taylor,Taylor & Mercury
1980,"Sail Away, Sweet Sister",1979,The Game,May,May & Mercury
1980,Save Me,1979,The Game,May,Mercury
1989,Scandal,1988–89,The Miracle,Queen (May),Mercury
1975,Seaside Rendezvous,1975,A Night at the Opera,Mercury,Mercury
1974,See What a Fool I've Been,1973,B-Side To Seven Seas Of Rhye,May,Mercury
1973/1974,Seven Seas of Rhye,1972/1973,Queen / Queen II,Mercury,Mercury
1974,She Makes Me (Stormtrooper in Stilettoes),1974,Sheer Heart Attack,May,May
1977,Sheer Heart Attack,1977,News of the World,Taylor,Mercury (verses) & Taylor (chorus)
1991,The Show Must Go On,1990,Innuendo,Queen (May),Mercury
1977,Sleeping on the Sidewalk,1977,News of the World,May,May
1974,"Some Day, One Day",1973,Queen II,May,May
1976,Somebody to Love,1976,A Day at the Races,Mercury,Mercury
1973,Son & Daughter,1972,Queen,May,Mercury
1981,Soul Brother,1981,B-Side To Under Pressure,Queen,Mercury
1977,Spread Your Wings,1977,News of the World,Deacon,Mercury
1982,Staying Power,1981–82,Hot Space,Mercury,Mercury
1989,Stealin',1988–89,B-Side To Breakthru,Queen,Mercury
1974,Stone Cold Crazy,1974,Sheer Heart Attack,"Deacon, May, Mercury, Taylor",Mercury
1975,Sweet Lady,1975,A Night at the Opera,May,Mercury
1984,Tear It Up,1983–84,The Works,May,Mercury
1974,Tenement Funster,1974,Sheer Heart Attack,Taylor,Taylor
1976,Teo Torriatte (Let Us Cling Together),1976,A Day at the Races,May,Mercury
1985,Thank God It's Christmas,1984,Non-album single / Greatest Hits III,Taylor/May,Mercury
1991,These Are the Days of Our Lives,1989–90,Innuendo,Queen (Taylor),Mercury
1976,Tie Your Mother Down,1976,A Day at the Races,May,Mercury
1995,Too Much Love Will Kill You,1988–95,Made in Heaven,"May, Frank Musker, Elizabeth Lamers",Mercury
1995,Track 13,1980–95,Made in Heaven (CD Version),"Queen (David Richards, Taylor, May)",Mercury
1981,Under Pressure,1981,Hot Space,Queen/David Bowie,Mercury & David Bowie
1980,Vultan's Theme (Attack of the Hawk Men),1980,Flash Gordon,Mercury,Instrumental
1989,Was It All Worth It,1988–89,The Miracle,Queen (Mercury),Mercury
1977,We Are the Champions,1977,News of the World,Mercury,Mercury
1977,We Will Rock You,1977,News of the World,May,Mercury
1980,The Wedding March,1980,Flash Gordon,Arr. May,Instrumental
1976,White Man,1976,A Day at the Races,May,Mercury
1974,White Queen (As It Began),1973,Queen II,May,Mercury
1977,Who Needs You,1977,News of the World,Deacon,Mercury
1986,Who Wants to Live Forever,1985–86,A Kind of Magic,May,May & Mercury
1995,A Winter's Tale,1991–95,Made in Heaven,Queen (Mercury),Mercury
1995,Yeah,1980–95,Made in Heaven,Queen,Mercury (spoken)
1976,You And I,1976,A Day at the Races,Deacon,"Mercury, with Taylor"
1995,You Don't Fool Me,1991–95,Made in Heaven,Queen (Mercury/Taylor),Mercury
1976,You Take My Breath Away,1976,A Day at the Races,Mercury,Mercury
1975,You're My Best Friend,1975,A Night at the Opera,Deacon,Mercury
1986,A Dozen Red Roses For My Darling,1985-86,A Kind of Magic,Taylor,Instrumental
